,angry,disgust,fear,happy,neutral,sad,surprise
angry,25,0,1,0,14,4,1
disgust,41,6,0,1,8,3,0
fear,4,1,6,3,4,5,2
happy,0,0,0,69,0,0,0
neutral,24,0,32,0,485,52,0
sad,7,0,1,0,5,15,0
surprise,6,0,3,1,5,1,67
