,angry,disgust,fear,happy,neutral,sad,surprise
angry,0.5555555555555556,0.0,0.022222222222222223,0.0,0.3111111111111111,0.08888888888888889,0.022222222222222223
disgust,0.6949152542372882,0.1016949152542373,0.0,0.01694915254237288,0.13559322033898305,0.05084745762711865,0.0
fear,0.16,0.04,0.24,0.12,0.16,0.2,0.08
happy,0.0,0.0,0.0,1.0,0.0,0.0,0.0
neutral,0.04047217537942664,0.0,0.05396290050590219,0.0,0.8178752107925801,0.08768971332209106,0.0
sad,0.25,0.0,0.03571428571428571,0.0,0.17857142857142858,0.5357142857142857,0.0
surprise,0.07228915662650602,0.0,0.03614457831325301,0.012048192771084338,0.060240963855421686,0.012048192771084338,0.8072289156626506
