,surprise,fear,disgust,happy,sad,angry,neutral
surprise,0.9879518072289156,0.0,0.0,0.012048192771084338,0.0,0.0,0.0
fear,0.16,0.56,0.0,0.08,0.2,0.0,0.0
disgust,0.0,0.0,0.7966101694915254,0.03389830508474576,0.01694915254237288,0.13559322033898305,0.01694915254237288
happy,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sad,0.07142857142857142,0.0,0.0,0.0,0.7857142857142857,0.0,0.14285714285714285
angry,0.06666666666666667,0.0,0.3111111111111111,0.044444444444444446,0.3111111111111111,0.1111111111111111,0.15555555555555556
neutral,0.03709949409780776,0.00505902192242833,0.0016863406408094434,0.05227655986509275,0.05227655986509275,0.0,0.851602023608769
