,angry,disgust,fear,happy,neutral,sad,surprise
angry,26,0,1,0,13,5,0
disgust,36,17,0,1,5,0,0
fear,8,0,6,3,1,4,3
happy,0,0,0,66,3,0,0
neutral,26,0,11,2,513,41,0
sad,4,0,3,0,6,15,0
surprise,5,0,2,1,3,0,72
