,angry,disgust,fear,happy,neutral,sad,surprise
angry,0.6444444444444445,0.022222222222222223,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0
disgust,0.4915254237288136,0.3559322033898305,0.0,0.05084745762711865,0.1016949152542373,0.0,0.0
fear,0.4,0.0,0.08,0.04,0.08,0.2,0.2
happy,0.0,0.0,0.0,1.0,0.0,0.0,0.0
neutral,0.02023608768971332,0.0,0.01011804384485666,0.00505902192242833,0.8718381112984823,0.09274873524451939,0.0
sad,0.17857142857142858,0.0,0.03571428571428571,0.0,0.14285714285714285,0.6428571428571429,0.0
surprise,0.10843373493975904,0.0,0.08433734939759036,0.012048192771084338,0.060240963855421686,0.0,0.7349397590361446
