,surprise,fear,disgust,happy,sad,angry,neutral
surprise,0.9879518072289156,0.0,0.0,0.012048192771084338,0.0,0.0,0.0
fear,0.16,0.32,0.04,0.0,0.48,0.0,0.0
disgust,0.0,0.0,0.9322033898305084,0.0,0.01694915254237288,0.01694915254237288,0.03389830508474576
happy,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sad,0.0,0.0,0.03571428571428571,0.0,0.9285714285714286,0.0,0.03571428571428571
angry,0.0,0.0,0.4444444444444444,0.0,0.26666666666666666,0.044444444444444446,0.24444444444444444
neutral,0.016863406408094434,0.006745362563237774,0.01517706576728499,0.045531197301854974,0.05396290050590219,0.0,0.8617200674536256
