,surprise,fear,disgust,happy,sad,angry,neutral
surprise,82,0,0,1,0,0,0
fear,4,8,1,0,12,0,0
disgust,0,0,55,0,1,1,2
happy,0,0,0,69,0,0,0
sad,0,0,1,0,26,0,1
angry,0,0,20,0,12,2,11
neutral,10,4,9,27,32,0,511
