,surprise,fear,disgust,happy,sad,angry,neutral
surprise,81,0,0,0,0,0,2
fear,5,6,2,0,12,0,0
disgust,0,0,43,0,2,12,2
happy,0,0,0,69,0,0,0
sad,1,0,2,0,22,1,2
angry,0,0,20,1,10,5,9
neutral,4,0,4,8,22,2,553
