,surprise,fear,disgust,happy,sad,angry,neutral
surprise,0.9759036144578314,0.0,0.0,0.0,0.0,0.012048192771084338,0.012048192771084338
fear,0.2,0.56,0.0,0.0,0.24,0.0,0.0
disgust,0.0,0.0,0.6949152542372882,0.01694915254237288,0.01694915254237288,0.2711864406779661,0.0
happy,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sad,0.07142857142857142,0.0,0.07142857142857142,0.0,0.75,0.03571428571428571,0.07142857142857142
angry,0.044444444444444446,0.0,0.37777777777777777,0.0,0.17777777777777778,0.24444444444444444,0.15555555555555556
neutral,0.1467116357504216,0.00505902192242833,0.01517706576728499,0.02866779089376054,0.04384485666104553,0.01011804384485666,0.7504215851602024
