,surprise,fear,disgust,happy,sad,angry,neutral
surprise,82,0,0,0,0,0,1
fear,1,11,0,1,12,0,0
disgust,0,0,49,1,1,7,1
happy,0,0,0,69,0,0,0
sad,0,0,2,0,24,0,2
angry,0,0,24,3,6,2,10
neutral,1,3,2,23,68,0,496
