,surprise,fear,disgust,happy,sad,angry,neutral
surprise,65,5,1,0,0,12,0
fear,2,12,4,1,5,1,0
disgust,1,0,47,0,0,11,0
happy,0,2,20,42,2,3,0
sad,2,1,9,0,14,0,2
angry,5,0,24,0,7,3,6
neutral,67,9,60,4,123,3,327
