,surprise,fear,disgust,happy,sad,angry,neutral
surprise,0.7831325301204819,0.060240963855421686,0.012048192771084338,0.0,0.0,0.14457831325301204,0.0
fear,0.08,0.48,0.16,0.04,0.2,0.04,0.0
disgust,0.01694915254237288,0.0,0.7966101694915254,0.0,0.0,0.1864406779661017,0.0
happy,0.0,0.028985507246376812,0.2898550724637681,0.6086956521739131,0.028985507246376812,0.043478260869565216,0.0
sad,0.07142857142857142,0.03571428571428571,0.32142857142857145,0.0,0.5,0.0,0.07142857142857142
angry,0.1111111111111111,0.0,0.5333333333333333,0.0,0.15555555555555556,0.06666666666666667,0.13333333333333333
neutral,0.11298482293423272,0.01517706576728499,0.10118043844856661,0.006745362563237774,0.20741989881956155,0.00505902192242833,0.551433389544688
