,angry,disgust,fear,happy,neutral,sad,surprise
angry,0.6444444444444445,0.0,0.044444444444444446,0.0,0.15555555555555556,0.15555555555555556,0.0
disgust,0.6440677966101694,0.2033898305084746,0.01694915254237288,0.01694915254237288,0.1016949152542373,0.01694915254237288,0.0
fear,0.16,0.0,0.24,0.16,0.04,0.4,0.0
happy,0.0,0.0,0.0,0.9710144927536232,0.028985507246376812,0.0,0.0
neutral,0.07588532883642496,0.0,0.02866779089376054,0.013490725126475547,0.8397976391231029,0.04215851602023609,0.0
sad,0.17857142857142858,0.0,0.14285714285714285,0.0,0.21428571428571427,0.4642857142857143,0.0
surprise,0.04819277108433735,0.0,0.04819277108433735,0.012048192771084338,0.03614457831325301,0.0,0.8554216867469879
