,angry,disgust,fear,happy,neutral,sad,surprise
angry,29,0,2,0,7,7,0
disgust,38,12,1,1,6,1,0
fear,4,0,6,4,1,10,0
happy,0,0,0,67,2,0,0
neutral,45,0,17,8,498,25,0
sad,5,0,4,0,6,13,0
surprise,4,0,4,1,3,0,71
