,surprise,fear,disgust,happy,sad,angry,neutral
surprise,0.963855421686747,0.012048192771084338,0.0,0.0,0.012048192771084338,0.0,0.012048192771084338
fear,0.12,0.36,0.0,0.04,0.44,0.04,0.0
disgust,0.0,0.0,0.7966101694915254,0.0,0.0,0.1694915254237288,0.03389830508474576
happy,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sad,0.03571428571428571,0.0,0.0,0.0,0.9285714285714286,0.0,0.03571428571428571
angry,0.022222222222222223,0.0,0.4,0.022222222222222223,0.28888888888888886,0.08888888888888889,0.17777777777777778
neutral,0.02866779089376054,0.0016863406408094434,0.013490725126475547,0.03541315345699832,0.10961214165261383,0.0016863406408094434,0.8094435075885329
