,surprise,fear,disgust,happy,sad,angry,neutral
surprise,80,1,0,0,1,0,1
fear,3,9,0,1,11,1,0
disgust,0,0,47,0,0,10,2
happy,0,0,0,69,0,0,0
sad,1,0,0,0,26,0,1
angry,1,0,18,1,13,4,8
neutral,17,1,8,21,65,1,480
