,angry,disgust,fear,happy,neutral,sad,surprise
angry,24,0,0,0,9,12,0
disgust,42,10,1,1,3,2,0
fear,4,0,4,0,1,11,5
happy,0,0,0,69,0,0,0
neutral,1,0,6,3,524,59,0
sad,3,0,0,0,4,21,0
surprise,9,0,7,1,6,0,60
