,angry,disgust,fear,happy,neutral,sad,surprise
angry,0.37777777777777777,0.0,0.022222222222222223,0.0,0.28888888888888886,0.3111111111111111,0.0
disgust,0.4406779661016949,0.3728813559322034,0.01694915254237288,0.03389830508474576,0.06779661016949153,0.06779661016949153,0.0
fear,0.12,0.0,0.12,0.16,0.16,0.28,0.16
happy,0.0,0.0,0.0,1.0,0.0,0.0,0.0
neutral,0.01011804384485666,0.0,0.02866779089376054,0.01854974704890388,0.8431703204047217,0.09949409780775717,0.0
sad,0.17857142857142858,0.0,0.10714285714285714,0.0,0.14285714285714285,0.5714285714285714,0.0
surprise,0.04819277108433735,0.0,0.04819277108433735,0.04819277108433735,0.060240963855421686,0.012048192771084338,0.7831325301204819
