,angry,disgust,fear,happy,neutral,sad,surprise
angry,17,0,1,0,13,14,0
disgust,26,22,1,2,4,4,0
fear,3,0,3,4,4,7,4
happy,0,0,0,69,0,0,0
neutral,6,0,17,11,500,59,0
sad,5,0,3,0,4,16,0
surprise,4,0,4,4,5,1,65
