,angry,disgust,fear,happy,neutral,sad,surprise
angry,24,0,0,0,11,10,0
disgust,32,17,0,3,3,4,0
fear,6,0,4,5,1,7,2
happy,0,0,0,66,3,0,0
neutral,46,0,5,8,482,52,0
sad,7,0,0,0,3,18,0
surprise,2,0,1,2,3,1,74
