,angry,disgust,fear,happy,neutral,sad,surprise
angry,0.5333333333333333,0.0,0.0,0.0,0.24444444444444444,0.2222222222222222,0.0
disgust,0.5423728813559322,0.288135593220339,0.0,0.05084745762711865,0.05084745762711865,0.06779661016949153,0.0
fear,0.24,0.0,0.16,0.2,0.04,0.28,0.08
happy,0.0,0.0,0.0,0.9565217391304348,0.043478260869565216,0.0,0.0
neutral,0.0775716694772344,0.0,0.008431703204047217,0.013490725126475547,0.8128161888701517,0.08768971332209106,0.0
sad,0.25,0.0,0.0,0.0,0.10714285714285714,0.6428571428571429,0.0
surprise,0.024096385542168676,0.0,0.012048192771084338,0.024096385542168676,0.03614457831325301,0.012048192771084338,0.891566265060241
