,surprise,fear,disgust,happy,sad,angry,neutral
surprise,82,0,1,0,0,0,0
fear,3,11,2,0,9,0,0
disgust,0,0,43,0,1,14,1
happy,0,0,1,66,2,0,0
sad,1,0,2,0,24,0,1
angry,0,0,26,0,10,4,5
neutral,21,0,18,28,55,1,470
