,angry,disgust,fear,happy,neutral,sad,surprise
angry,18,0,3,0,10,14,0
disgust,41,7,0,0,8,3,0
fear,2,0,5,3,0,11,4
happy,0,0,0,69,0,0,0
neutral,3,0,3,3,534,50,0
sad,1,0,3,0,4,20,0
surprise,2,0,1,0,7,0,73
