,angry,disgust,fear,happy,neutral,sad,surprise
angry,0.4,0.0,0.06666666666666667,0.0,0.2222222222222222,0.3111111111111111,0.0
disgust,0.6949152542372882,0.11864406779661017,0.0,0.0,0.13559322033898305,0.05084745762711865,0.0
fear,0.08,0.0,0.2,0.12,0.0,0.44,0.16
happy,0.0,0.0,0.0,1.0,0.0,0.0,0.0
neutral,0.00505902192242833,0.0,0.00505902192242833,0.00505902192242833,0.9005059021922428,0.08431703204047218,0.0
sad,0.03571428571428571,0.0,0.10714285714285714,0.0,0.14285714285714285,0.7142857142857143,0.0
surprise,0.024096385542168676,0.0,0.012048192771084338,0.0,0.08433734939759036,0.0,0.8795180722891566
