,surprise,fear,disgust,happy,sad,angry,neutral
surprise,82,0,1,0,0,0,0
fear,4,20,1,0,0,0,0
disgust,0,0,47,1,0,8,3
happy,0,0,0,69,0,0,0
sad,9,1,3,0,9,1,5
angry,8,1,15,3,4,3,11
neutral,63,5,1,32,3,2,487
