,angry,disgust,fear,happy,neutral,sad,surprise
angry,0.6222222222222222,0.0,0.022222222222222223,0.0,0.2222222222222222,0.13333333333333333,0.0
disgust,0.4576271186440678,0.3898305084745763,0.01694915254237288,0.01694915254237288,0.0847457627118644,0.03389830508474576,0.0
fear,0.32,0.0,0.32,0.04,0.04,0.16,0.12
happy,0.0,0.0,0.0,0.9710144927536232,0.028985507246376812,0.0,0.0
neutral,0.04215851602023609,0.0,0.02023608768971332,0.003372681281618887,0.8397976391231029,0.09106239460370995,0.003372681281618887
sad,0.25,0.0,0.07142857142857142,0.0,0.14285714285714285,0.5357142857142857,0.0
surprise,0.07228915662650602,0.0,0.07228915662650602,0.012048192771084338,0.024096385542168676,0.024096385542168676,0.7951807228915663
