,angry,disgust,fear,happy,neutral,sad,surprise
angry,22,0,3,0,11,9,0
disgust,40,12,0,2,3,2,0
fear,5,0,8,0,2,8,2
happy,0,0,0,69,0,0,0
neutral,35,0,34,7,488,28,1
sad,5,0,5,0,3,15,0
surprise,5,0,1,0,2,1,74
