,angry,disgust,fear,happy,neutral,sad,surprise
angry,0.4888888888888889,0.0,0.044444444444444446,0.0,0.15555555555555556,0.3111111111111111,0.0
disgust,0.576271186440678,0.22033898305084745,0.0,0.06779661016949153,0.06779661016949153,0.06779661016949153,0.0
fear,0.12,0.0,0.16,0.2,0.08,0.28,0.16
happy,0.014492753623188406,0.0,0.0,0.9855072463768116,0.0,0.0,0.0
neutral,0.0387858347386172,0.0,0.01517706576728499,0.01011804384485666,0.8448566610455311,0.09106239460370995,0.0
sad,0.17857142857142858,0.0,0.07142857142857142,0.0,0.10714285714285714,0.6428571428571429,0.0
surprise,0.060240963855421686,0.0,0.012048192771084338,0.0,0.03614457831325301,0.012048192771084338,0.8795180722891566
