,surprise,fear,disgust,happy,sad,angry,neutral
surprise,81,1,0,0,0,0,1
fear,3,9,0,0,13,0,0
disgust,0,0,44,1,0,13,1
happy,0,0,0,68,1,0,0
sad,0,0,1,0,27,0,0
angry,1,0,17,0,12,12,3
neutral,12,0,11,22,79,11,458
