,surprise,fear,disgust,happy,sad,angry,neutral
surprise,0.9759036144578314,0.012048192771084338,0.0,0.0,0.0,0.0,0.012048192771084338
fear,0.12,0.36,0.0,0.0,0.52,0.0,0.0
disgust,0.0,0.0,0.7457627118644068,0.01694915254237288,0.0,0.22033898305084745,0.01694915254237288
happy,0.0,0.0,0.0,0.9855072463768116,0.014492753623188406,0.0,0.0
sad,0.0,0.0,0.03571428571428571,0.0,0.9642857142857143,0.0,0.0
angry,0.022222222222222223,0.0,0.37777777777777777,0.0,0.26666666666666666,0.26666666666666666,0.06666666666666667
neutral,0.02023608768971332,0.0,0.01854974704890388,0.03709949409780776,0.13322091062394603,0.01854974704890388,0.7723440134907251
