,angry,disgust,fear,happy,neutral,sad,surprise
angry,0.5555555555555556,0.0,0.044444444444444446,0.0,0.24444444444444444,0.15555555555555556,0.0
disgust,0.6779661016949152,0.23728813559322035,0.0,0.01694915254237288,0.05084745762711865,0.01694915254237288,0.0
fear,0.16,0.04,0.28,0.08,0.04,0.24,0.16
happy,0.0,0.0,0.0,1.0,0.0,0.0,0.0
neutral,0.01517706576728499,0.0,0.016863406408094434,0.003372681281618887,0.9055649241146712,0.05902192242833052,0.0
sad,0.14285714285714285,0.0,0.10714285714285714,0.0,0.2857142857142857,0.4642857142857143,0.0
surprise,0.12048192771084337,0.0,0.012048192771084338,0.0,0.03614457831325301,0.0,0.8313253012048193
