,angry,disgust,fear,happy,neutral,sad,surprise
angry,0.5111111111111111,0.022222222222222223,0.022222222222222223,0.0,0.2222222222222222,0.2222222222222222,0.0
disgust,0.4067796610169492,0.4576271186440678,0.0,0.01694915254237288,0.06779661016949153,0.05084745762711865,0.0
fear,0.24,0.0,0.2,0.12,0.12,0.2,0.12
happy,0.0,0.0,0.0,0.9710144927536232,0.028985507246376812,0.0,0.0
neutral,0.02023608768971332,0.0,0.045531197301854974,0.0016863406408094434,0.8684654300168634,0.06408094435075885,0.0
sad,0.10714285714285714,0.0,0.07142857142857142,0.0,0.17857142857142858,0.6428571428571429,0.0
surprise,0.0963855421686747,0.0,0.04819277108433735,0.04819277108433735,0.012048192771084338,0.0,0.7951807228915663
