,surprise,fear,disgust,happy,sad,angry,neutral
surprise,82,0,0,1,0,0,0
fear,2,10,1,0,12,0,0
disgust,0,0,50,1,1,6,1
happy,0,0,0,69,0,0,0
sad,0,0,2,0,24,0,2
angry,2,0,13,0,18,5,7
neutral,9,0,3,15,56,2,508
