,angry,disgust,fear,happy,neutral,sad,surprise
angry,21,0,0,0,13,11,0
disgust,32,14,0,3,9,1,0
fear,4,0,5,6,2,7,1
happy,0,0,0,69,0,0,0
neutral,2,0,4,10,516,61,0
sad,4,0,2,0,5,17,0
surprise,6,0,4,4,4,3,62
