,angry,disgust,fear,happy,neutral,sad,surprise
angry,17,1,4,0,13,10,0
disgust,29,22,0,2,5,1,0
fear,2,0,6,0,2,10,5
happy,0,0,0,64,5,0,0
neutral,6,0,2,3,506,76,0
sad,2,0,2,0,3,21,0
surprise,0,0,3,0,1,0,79
