,surprise,fear,disgust,happy,sad,angry,neutral
surprise,82,0,0,1,0,0,0
fear,5,5,4,2,9,0,0
disgust,0,0,47,0,0,10,2
happy,0,0,0,69,0,0,0
sad,1,0,0,0,25,0,2
angry,1,0,24,0,8,5,7
neutral,40,4,5,31,20,1,492
