,angry,disgust,fear,happy,neutral,sad,surprise
angry,0.5111111111111111,0.0,0.022222222222222223,0.0,0.35555555555555557,0.1111111111111111,0.0
disgust,0.559322033898305,0.288135593220339,0.0,0.0,0.0847457627118644,0.06779661016949153,0.0
fear,0.12,0.04,0.12,0.2,0.04,0.44,0.04
happy,0.0,0.0,0.0,1.0,0.0,0.0,0.0
neutral,0.01011804384485666,0.0,0.026981450252951095,0.011804384485666104,0.7993254637436762,0.15008431703204048,0.0016863406408094434
sad,0.21428571428571427,0.0,0.0,0.0,0.14285714285714285,0.6428571428571429,0.0
surprise,0.07228915662650602,0.0,0.0,0.012048192771084338,0.024096385542168676,0.012048192771084338,0.8795180722891566
