,angry,disgust,fear,happy,neutral,sad,surprise
angry,23,0,1,0,16,5,0
disgust,33,17,0,0,5,4,0
fear,3,1,3,5,1,11,1
happy,0,0,0,69,0,0,0
neutral,6,0,16,7,474,89,1
sad,6,0,0,0,4,18,0
surprise,6,0,0,1,2,1,73
