,surprise,fear,disgust,happy,sad,angry,neutral
surprise,0.9759036144578314,0.0,0.0,0.0,0.0,0.012048192771084338,0.012048192771084338
fear,0.16,0.6,0.0,0.08,0.12,0.04,0.0
disgust,0.0,0.0,0.6101694915254238,0.01694915254237288,0.0,0.3050847457627119,0.06779661016949153
happy,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sad,0.07142857142857142,0.0,0.03571428571428571,0.0,0.8214285714285714,0.0,0.07142857142857142
angry,0.06666666666666667,0.0,0.28888888888888886,0.0,0.3333333333333333,0.06666666666666667,0.24444444444444444
neutral,0.050590219224283306,0.008431703204047217,0.0016863406408094434,0.0387858347386172,0.0387858347386172,0.0016863406408094434,0.8600337268128162
