,surprise,fear,disgust,happy,sad,angry,neutral
surprise,0.9879518072289156,0.0,0.0,0.012048192771084338,0.0,0.0,0.0
fear,0.2,0.44,0.0,0.0,0.28,0.04,0.04
disgust,0.01694915254237288,0.0,0.7966101694915254,0.0,0.0,0.15254237288135594,0.03389830508474576
happy,0.0,0.0,0.0,0.9855072463768116,0.0,0.014492753623188406,0.0
sad,0.0,0.0,0.14285714285714285,0.0,0.5,0.03571428571428571,0.32142857142857145
angry,0.06666666666666667,0.022222222222222223,0.35555555555555557,0.0,0.13333333333333333,0.13333333333333333,0.28888888888888886
neutral,0.05733558178752108,0.0,0.00505902192242833,0.02866779089376054,0.003372681281618887,0.0,0.9055649241146712
