,surprise,fear,disgust,happy,sad,angry,neutral
surprise,0.27710843373493976,0.0,0.0,0.0,0.0,0.03614457831325301,0.6867469879518072
fear,0.04,0.0,0.0,0.0,0.16,0.08,0.72
disgust,0.0,0.0,0.3050847457627119,0.0,0.0,0.423728813559322,0.2711864406779661
happy,0.0,0.014492753623188406,0.0,0.0,0.014492753623188406,0.014492753623188406,0.9565217391304348
sad,0.0,0.0,0.0,0.0,0.32142857142857145,0.0,0.6785714285714286
angry,0.0,0.0,0.044444444444444446,0.0,0.1111111111111111,0.2,0.6444444444444445
neutral,0.0,0.0,0.0,0.0,0.0,0.0016863406408094434,0.9983136593591906
